epoch,train_loss,val_loss
1,0.8236754818191186,0.7471635461182581
2,0.7356364501915429,0.7402915445181242
3,0.7167143366668796,0.7116636328995501
4,0.6945514109807037,0.6911066080192524
5,0.6872172514768512,0.6865605356063773
6,0.6817151703456601,0.684182922886179
7,0.6773016119292599,0.6741033892293753
8,0.6680888391577343,0.6617686785243472
9,0.6566505426589576,0.6461161610283979
10,0.6477268428259878,0.6382235466830755
11,0.639893354373843,0.6381841063938123
12,0.6362861716574573,0.6321975413329467
13,0.6321390406186838,0.6274321538215398
14,0.6290808077451834,0.6324081529469916
15,0.6265276592300579,0.6310160695245316
16,0.6224043560339634,0.6189492764885314
17,0.6177023861887276,0.6112257986849563
18,0.6111854890434827,0.6010548687354073
19,0.6059443046363461,0.6006028596808741
20,0.6032317801321255,0.6021714112357252
21,0.6003215646454472,0.5940716468421494
22,0.596671836716097,0.600894360226453
23,0.5987100936990972,0.5861644079735658
24,0.591480737184144,0.5950790918410757
25,0.5874931295882919,0.5833088495145726
