plate_id,n_trips,total_distance_km,risk_index,risk_index_mean,risk_index_p90,grade,grade_name
147411,34,604.6369195274887,0.03680040726058281,0.01819693994556002,0.045073711850676566,0,低风险
1974492,111,9246.693310726527,0.03698719187890433,0.04393776172174621,0.08699668821350726,0,低风险
2112129,122,6729.46338748011,0.06960853928198055,0.05777384279224061,0.11131145197820574,2,高风险
21713931,129,8085.367081719145,0.0732787128319147,0.07504430141329285,0.108771435328401,2,高风险
267858,74,5856.640253738733,0.04080886692824342,0.05095860116757807,0.10266131798403118,0,低风险
380682,71,4258.230356350525,0.06930194048232789,0.06465485900759294,0.12133366670836926,2,高风险
38756601,111,8797.620719554303,0.05147032803401387,0.052068536070071475,0.09389450248552411,1,中风险
438597,170,562.4567488971659,0.04684463321599237,0.04782217651206734,0.09777296609636207,1,中风险
4923603,135,11538.485380425474,0.05600570520550509,0.06632906726167043,0.10791271372147461,1,中风险
5062851,143,8097.038122746904,0.1147218460450122,0.09500585706912372,0.16714034721310733,3,极高风险
5426658,120,11066.202566666703,0.03990906929874114,0.047125429099094014,0.10350035419748446,0,低风险
5611482,67,3271.22150679377,0.0801279045332129,0.0858978595980815,0.12466880004620706,2,高风险
5673492,121,11193.769108925699,0.057321698579482466,0.061131187519911194,0.10959245731861114,1,中风险
5832441,124,1568.2009116716279,0.06653570611331654,0.08971403861655478,0.15677534265144352,2,高风险
605538,26,1390.6122771415276,0.03553057460648076,0.042983389237568344,0.09628665203837872,0,低风险
6711561,81,9242.962984347996,0.04128146556457961,0.05889144261912056,0.127208914924282,0,低风险
680841,148,10085.549359072447,0.054404250683617386,0.06292183021341334,0.11225224847113424,1,中风险
7458165,124,9976.472468945392,0.07613178425135907,0.07112785973760323,0.10784078667820175,2,高风险
7734024,82,5406.217654853807,0.043910820382417406,0.04710468112872103,0.09209875630656608,0,低风险
8615403,101,6333.754375588749,0.05208268231669605,0.05086860965336812,0.08569511752715976,1,中风险
8735778,149,12661.956578731426,0.10609617406512667,0.09165952538677098,0.1657905323031086,3,极高风险
8764848,117,7200.466155260366,0.02868346866824126,0.037572084086983565,0.0742600960219804,0,低风险
9171117,83,8479.029726416711,0.0560623176911511,0.06701732268126963,0.1258772785057563,1,中风险
92207601,118,12862.081864571917,0.043991701368644755,0.04289861605025075,0.10533197316017498,0,低风险
933903,127,10968.578391839925,0.055671301472045916,0.06298656566972269,0.10310127431858522,1,中风险
