plate_id,n_trips,total_distance_km,total_duration_h,overspeed_ratio,overspeed_intensity,hard_brake_rate,hard_accel_rate,speed_std,speed_entropy,acc_rms,continuous_over4h_ratio,night_ratio,bridge_tunnel_exposure,city_exposure,density_exposure
147411,34,604.6369195274887,23.150000000000002,0.0,0.0,20.34278689037414,16.538851130385478,22.010813034724382,1.2248367962607238,0.09000104352296538,0.0,0.010141476044217954,0.004190828245513732,0.0076286317271442436,0.0
1974492,111,9246.693310726527,184.50833333333335,0.0,0.0,15.97327769362289,15.118918223212455,19.483191830733972,1.0262675826015908,0.08871380190337438,0.0,0.07153811996979265,0.0007520122264524658,0.002168513838862408,0.0002467872680335525
2112129,122,6729.46338748011,184.58333333333334,0.0,0.0,41.22171175135469,43.62903594159241,24.097197204254407,1.3525825260731161,0.1404823411033134,0.0,0.08390181859042772,0.0,0.0,0.0
21713931,129,8085.367081719145,162.51666666666665,0.00025195075906425435,0.06946224585330754,21.124582010157017,22.75716094771014,24.162858411352843,1.1455496942455128,0.12233551666293699,0.0,0.012484777051968975,0.0,0.02549995268926208,0.011199011941533915
267858,74,5856.640253738733,117.69999999999999,0.0,0.0,12.344961764357214,11.918095866557863,18.856306466720582,0.9343170454286094,0.08807314388758382,0.0,0.062337540184839974,0.0027848212237545633,0.0033739828835112106,0.0
380682,71,4258.230356350525,115.30000000000001,9.697117399384111e-05,0.00835245045333615,38.067456768338445,39.40604099770013,23.239832596676216,1.3785219076491895,0.1280681826660447,0.0,0.022484825490236393,0.005826934504123095,0.006009712910165379,0.0
38756601,111,8797.620719554303,211.05833333333334,0.0,0.0,25.370495855077912,26.09796527027728,19.07210919327958,1.075689568937567,0.1116331867010659,0.0,0.05526717620409136,0.0019650277618411156,0.0027760077754280256,0.0
438597,170,562.4567488971659,80.79999999999998,0.0,0.0,90.31805574314083,88.1845583633816,11.525453344167612,0.8869242490384092,0.08267954222168952,0.0,0.03311088627804229,0.0,0.0,0.0
4923603,135,11538.485380425474,233.17499999999998,0.0,0.0,21.15528962008348,21.83995487202391,20.5417553016348,1.032738566683229,0.11969049314266339,0.0,0.11581755746849487,0.0004319123063652471,0.0,0.0
5062851,143,8097.038122746904,215.86666666666665,8.473788485527573e-05,0.004972560313115637,54.69901379811549,61.047014044724506,24.296185175328986,1.4265662406395028,0.18876312259593409,0.0,0.0841824778828234,0.0,0.0,0.0
5426658,120,11066.202566666703,215.975,0.0,0.0,12.45232943910472,11.955320644365418,19.680391825172617,0.95548801037349,0.09591434716315832,0.0,0.09186870675739629,0.0001212307938607892,0.0003847352149850194,0.0
5611482,67,3271.22150679377,92.03333333333333,0.0,0.0,42.85860792637506,38.51772181685632,23.669928277072117,1.42149053888021,0.14529592286456247,0.0,0.054569135689039344,0.0,0.0,0.0
5673492,121,11193.769108925699,235.875,0.0,0.0,26.94356092797286,26.407548442668357,21.76795275086356,1.289985922217197,0.12868728073875338,0.0001660730608818078,0.11890623522060129,0.0,0.0017830325665905134,0.0
5832441,124,1568.2009116716279,82.34166666666667,0.0,0.0,69.82523679525104,70.90928156741478,18.554391910827018,1.3095950064157083,0.12533199838895645,0.0,0.0,0.0,0.0008709873251933639,0.19208632737510342
605538,26,1390.6122771415276,30.316666666666666,0.000901193454780364,0.045427394538596275,15.748458689733802,15.173172527551746,25.366157292150785,1.1661550577894764,0.08214489894223637,0.0,0.12834467072480576,0.0,0.0,0.027348550903937667
6711561,81,9242.962984347996,152.46666666666667,0.0,0.0,11.403269728385153,11.67374576558594,22.124046684213045,0.7288765745436737,0.09194838239383868,0.0,0.056740323447825654,0.0,0.0006941679985050817,0.0
680841,148,10085.549359072447,212.09166666666664,0.0,0.0,20.782209529464502,21.803472688593722,25.251934068763624,1.1008118606666737,0.11258306844933252,0.0,0.012418186013322416,0.0031377515992723364,0.010541921403392595,0.0
7458165,124,9976.472468945392,245.6583333333333,3.6781188740239663e-05,0.004977720876179137,36.69633742182825,39.392681253150776,20.899017001423662,1.3904014890093113,0.1407185556226904,0.004731220900824453,0.13374320284159746,0.0,0.0,0.0
7734024,82,5406.217654853807,110.18333333333334,0.000429271976183597,0.09509767059005543,18.10877886355602,18.349242729977085,26.384754279530554,1.159834836633134,0.10229871159781832,0.0,0.0033537628225988056,0.0,0.0031365396635929512,0.014786746486516981
8615403,101,6333.754375588749,156.10833333333332,0.0,0.0,22.49850429142258,21.061757701584362,21.848650781799947,1.1368310340326209,0.09294010790994028,0.0,0.027822601084146765,0.010872674025331795,0.007845467649819648,0.0
8735778,149,12661.956578731426,243.44166666666666,0.020981565413811673,0.5761254924438364,17.896128342488957,19.728388614094186,23.08908270959146,1.1255470116298185,0.1151112392603088,0.0,0.07193327659084053,0.0,0.014801060361128642,0.0
8764848,117,7200.466155260366,153.79999999999998,0.0,0.0,14.735157101250687,14.36018137859869,20.085574758095863,0.8827013142221046,0.0834114803534321,0.0,0.039227504243569904,0.0,0.0,0.0
9171117,83,8479.029726416711,167.15000000000003,0.00023526453723544903,0.055204512465820234,21.500101530725622,20.40327791999744,22.026022559248428,1.0421916641516884,0.10601828868940931,0.0010169068017214153,0.03447664591922944,8.736160407914686e-05,0.00290796531962565,0.0
92207601,118,12862.081864571917,220.58333333333331,0.0001220209951357957,0.05917496467839572,7.720367592552635,7.067285137593498,18.500793786889044,0.7663685888229137,0.09260920750546876,0.0,0.006851311550324635,0.0,0.0017235671273880954,0.0
933903,127,10968.578391839925,194.35000000000005,0.0007561507333492829,0.16087453123387754,13.748363243881057,13.866883616673135,21.02564238146716,0.8536552139937442,0.1133011282327925,0.0,0.04644558496085929,0.0,0.0,0.027129203541177514
