plate_id,trip_id,overspeed_ratio,overspeed_intensity,hard_brake_rate,hard_accel_rate,speed_std,speed_entropy,acc_rms,continuous_over4h_ratio,night_ratio,bridge_tunnel_exposure,city_exposure,density_exposure,n_points,distance_km,duration_h,mean_speed,recon_error_mean,recon_error_p90,n_windows,risk_index,risk_index_ind_only,risk_index_anom_only,grade_q,grade_km,grade,grade_name,is_high_risk
147411,1,0.0,0.0,67.53264431861564,42.20790269913477,13.68154161065937,1.2667889524286817,0.11357966319305739,0.0,0.0,0.0,0.0,0.0,69,11.846122835434077,0.575,19.858880237300703,0.5923648178577423,0.7787423491477966,4,0.05281464246652151,0.012796609198152122,0.6242559523809523,1,1,1,中风险,0
147411,2,0.0,0.0,0.0,0.0,5.602829100711605,0.6853142072764582,0.04621729881560484,0.0,0.0,0.0,0.0,0.0,48,2.5801634179560153,0.4,6.1325716845878135,0.08185599744319916,0.0984678715467453,2,0.006751570919685036,0.002201467146842581,0.0390625,0,0,0,低风险,0
147411,4,0.0,0.0,0.0,0.0,5.385510080614489,0.633856266068602,0.0352134620705078,0.0,0.0,0.0,0.0,0.0,88,2.8222680825902122,0.7333333333333333,3.74669912111393,0.05584897417575121,0.09006740897893906,5,0.004420699216064152,0.0018884421049334618,0.012648809523809524,0,0,0,低风险,0
147411,5,0.0,0.0,35.07972238698689,35.07972238698689,6.736691616636755,0.6929389195380611,0.0612545578106678,0.0,0.0,0.0,0.0,0.0,49,2.8506496971907573,0.4083333333333333,6.662343647136273,0.14386932303508124,0.18256676942110062,3,0.014056120652794832,0.007551532411731015,0.09486607142857142,0,0,0,低风险,0
147411,6,0.0,0.0,0.0,0.0,5.451578669198826,0.7012565123592978,0.03961246204543147,0.0,0.0,0.0,0.0,0.0,34,3.6871826934131198,0.2833333333333333,13.139925625422581,0.08224668353796005,0.08279552310705185,2,0.006765039323998716,0.0021319434233982707,0.04017857142857143,0,0,0,低风险,0
147411,1000,0.0,0.0,52.118693745747144,60.80514270337167,12.209052539006251,1.203287000027408,0.08901033942377788,0.0,0.0,0.0,0.0,0.0,112,11.512184148877669,0.9333333333333333,12.148963133640551,0.30398035670320195,0.46410614252090454,6,0.02887418007556877,0.01233469064022013,0.2976190476190476,0,0,0,低风险,0
147411,1001,0.0,0.0,34.535008842578506,0.0,5.836958872673684,0.6931471805599453,0.04600680919733454,0.0,0.0,0.0,0.0,0.0,62,2.8956124046712026,0.5166666666666667,5.355876900259548,0.08844611048698425,0.1367359921336174,3,0.008812109061259628,0.005556063089689238,0.044642857142857144,0,0,0,低风险,0
147411,1003,0.0,0.0,74.91118975311166,0.0,6.363741761450871,0.7653474874467372,0.05928628694490722,0.0,0.0,0.0,0.0,0.0,55,2.669828107912175,0.4583333333333333,5.372805474095797,0.14399450023969015,0.20394372045993805,3,0.01620980513456609,0.011299432727993478,0.09523809523809523,0,0,0,低风险,0
147411,1004,0.0,0.0,0.0,0.0,6.031661767017273,0.6915443304085231,0.04354053052554175,0.0,0.0,0.0,0.0,0.0,53,2.8570905008140004,0.44166666666666665,6.258239413464297,0.07462104906638463,0.08941296935081482,3,0.00613093197953637,0.0022136939769029007,0.033854166666666664,0,0,0,低风险,0
147411,1005,0.0,0.0,0.0,0.0,7.011778827425954,0.9097944822721153,0.060306200795335906,0.0,0.0,0.0,0.0,0.0,30,3.6326459379884275,0.25,13.943655913978494,0.14340440928936005,0.14340440928936005,1,0.012383429140684087,0.003135723366195818,0.09375,0,0,0,低风险,0
147411,1006,0.0,0.0,13.994133012990009,0.0,10.090877253383992,1.102505994145725,0.049683850057741424,0.0,0.0,0.0,0.0,0.0,53,7.145851758531617,0.44166666666666665,15.974105400130124,0.09541592250267665,0.13358050882816314,3,0.008697644927021691,0.004313911746216815,0.04985119047619048,0,0,0,低风险,0
147411,2000,0.0,0.0,39.84682279925026,19.92341139962513,7.051988335061482,0.8410172421146214,0.07256069180707772,0.0,0.0,0.0,0.0,0.0,47,5.019220754628475,0.39166666666666666,12.19059711736445,0.20057103782892227,0.21940822154283524,2,0.01850716694625748,0.007233554783876762,0.16778273809523808,0,0,0,低风险,0
147411,2001,0.0,0.0,34.14830818099596,0.0,5.343384320821403,0.6191006644255871,0.034076981446907025,0.0,0.0,0.0,0.0,0.0,100,2.9284027621506437,0.8333333333333334,3.3046666666666664,0.05723603007694086,0.06709439679980278,6,0.006619696157732316,0.005353097419110761,0.013392857142857142,0,0,0,低风险,0
147411,2003,0.0,0.0,39.04572496868085,0.0,6.055473045338531,0.7024868011866702,0.04504201912523436,0.0,0.0,0.0,0.0,0.0,76,2.5610998407690335,0.6333333333333333,4.160514502947841,0.14980745362117887,0.2872256234288216,4,0.013909731105956738,0.006177135932169085,0.10119047619047619,0,0,0,低风险,0
147411,2004,0.0,0.0,34.82950042949505,0.0,6.835491155023351,0.7623714181031809,0.046846844374994256,0.0,0.0,0.0,0.0,0.0,56,2.8711293233283333,0.4666666666666667,5.929372342525846,0.10581654558579127,0.12113243341445923,3,0.010196223561250505,0.005714774406475295,0.05915178571428571,0,0,0,低风险,0
147411,2005,0.0,0.0,27.881148037399512,0.0,6.653023524615278,0.7743112444987517,0.06754882568381665,0.0,0.0,0.0,0.0,0.0,27,3.586652883369829,0.225,15.931376426482098,0.15960904955863953,0.15960904955863953,1,0.014317192404178811,0.005045405125951211,0.11681547619047619,0,0,0,低风险,0
147411,6000,0.0,0.0,12.694796610280527,25.389593220561053,8.978429396406877,1.0874751776438027,0.07114725667135127,0.0,0.0,0.0,0.0,0.0,67,7.877243178438778,0.5583333333333333,13.692691713844571,0.20241999253630638,0.23083464205265045,4,0.018147113938551673,0.005607971320312083,0.16964285714285715,0,0,0,低风险,0
147411,6001,0.0,0.0,0.0,0.0,8.05226442732757,0.8799300076747671,0.027822175003264712,0.0,0.0,0.0,0.0,0.0,48,1.711455516351141,0.4,5.493381921897547,0.5979599952697754,0.6966473579406738,2,0.05201517640043424,0.002790817752180849,0.6313244047619048,1,1,1,中风险,0
147411,6002,0.0,0.0,23.255805608992627,23.960526991083313,26.632691898951837,1.5244707579734529,0.10595977623726638,0.0,0.0,0.017857142857142856,0.0,0.0,392,141.90005091562796,3.2666666666666666,42.806816694548104,0.3559589561385413,0.7878953754901885,24,0.04526767520658715,0.03443997328171301,0.3627232142857143,1,1,1,中风险,0
147411,7000,0.0,0.0,28.27139351874859,23.747970555748815,31.096132416446295,1.4422339497330547,0.11661267475263877,0.0,0.06934306569343066,0.0,0.0,0.0,274,88.42860888134462,2.283333333333333,38.15093448316459,0.49272361901753087,1.0553041219711305,17,0.0446211306868852,0.012975330039439594,0.5208333333333334,1,1,1,中风险,0
147411,7001,0.0,0.0,11.213777879000357,9.718607495133643,20.22362006681566,0.9111924841656461,0.08109014922764955,0.0,0.0,0.0,0.034482758620689655,0.0,261,133.76401924359467,2.175,61.13515704047713,0.1848968180711381,0.6366834938526154,16,0.050486175140376004,0.04976496130237898,0.14620535714285715,1,1,1,中风险,0
147411,7002,0.0,0.0,12.20076224553809,6.9718641403074795,25.02103450107958,1.3051490762049036,0.09150729620891562,0.0,0.0,0.0,0.0,0.0,132,57.37346453546337,1.1,48.69570514155964,0.27926631085574627,0.3679254412651062,8,0.025204253334713583,0.0073911388160984035,0.25930059523809523,0,0,0,低风险,0
147411,7004,0.0,0.0,14.27370667931431,12.489493344400021,27.90556183014326,1.479204291653153,0.08877925998087241,0.0,0.0,0.0,0.0,0.0,151,56.047109414079046,1.2583333333333333,42.130009449263326,0.26721011598904926,0.3432608962059021,9,0.02445148305598597,0.008338389335932672,0.24516369047619047,0,0,0,低风险,0
147411,8000,0.0,0.0,33.544440516916964,16.772220258458482,11.637338618724213,1.2213648029858775,0.06480370056704414,0.0,0.0,0.0,0.0,0.0,99,11.924479700243444,0.825,14.376877038834769,0.1795043647289276,0.24259062856435776,6,0.016689604422782972,0.0070398112211843555,0.1402529761904762,0,0,0,低风险,0
147411,8001,0.0,0.0,0.0,0.0,5.640900671366378,0.6567119934093887,0.050192907010036925,0.0,0.0,0.0,0.0,0.0,41,2.8216892589905744,0.3416666666666667,8.036032809716307,0.10010478273034096,0.10181046798825263,2,0.00835079829811427,0.002205114858397127,0.05505952380952381,0,0,0,低风险,0
147411,8003,0.0,0.0,0.0,0.0,6.757185196730761,0.812378724730346,0.03692327171012886,0.0,0.0,0.0,0.0,0.0,50,2.0163469612386264,0.4166666666666667,5.509238598442714,0.08233148107926051,0.10362713634967805,3,0.006895934051950395,0.0025260954254006326,0.04055059523809524,0,0,0,低风险,0
147411,8004,0.0,0.0,0.0,0.0,5.770512927326689,0.6922788736563188,0.04292130640384909,0.0,0.0,0.0,0.0,0.0,48,2.806154832087419,0.4,6.675,0.07645717263221741,0.07696381807327271,2,0.006278500002839517,0.0021820032972365887,0.035342261904761904,0,0,0,低风险,0
147411,8005,0.0,0.0,0.0,0.0,5.6694424574007085,0.7474359091744861,0.03937632983555471,0.0,0.0,0.0,0.0,0.0,25,3.4793818253334554,0.20833333333333334,16.8,0.06252117455005646,0.06252117455005646,1,0.0051309218022609964,0.002273671022254682,0.018229166666666668,0,0,0,低风险,0
147411,8006,0.0,0.0,41.83618040063308,27.89078693375539,7.987305458860854,0.8983385176672216,0.06179713205853365,0.0,0.0,0.0,0.0,0.0,48,7.170826713316789,0.4,18.26836145099493,0.18341658264398575,0.21849258691072465,2,0.017370582455397913,0.00794073102225,0.14360119047619047,0,0,0,低风险,0
147411,8007,0.0,0.0,0.0,20.81419899842339,6.318040963419005,0.6770863131374465,0.05970797693052121,0.0,0.0,0.0,0.0,0.0,41,4.804412603510454,0.3416666666666667,14.365853658536585,0.16191578656435013,0.1801617994904518,2,0.014171502689314225,0.0038287491922977647,0.12016369047619048,0,0,0,低风险,0
147411,8008,0.0,0.0,0.0,0.0,6.010465230606647,0.6708198443868175,0.040183057898094884,0.0,0.0,0.0,0.0,0.0,38,2.474034768896398,0.31666666666666665,7.360657065355269,0.07589820399880409,0.08008150532841682,2,0.006207406499552125,0.0021098063499341755,0.034970238095238096,0,0,0,低风险,0
147411,8012,0.0,0.0,46.01304890239412,0.0,6.429812515334894,0.6904678087032025,0.056863311937283195,0.0,0.0,0.0,0.0,0.0,41,2.1732965405558438,0.3416666666666667,7.396579758901038,0.30548445880413055,0.4065696090459824,2,0.027404388227673444,0.007208226343568535,0.29910714285714285,0,0,0,低风险,0
147411,8013,0.0,0.0,0.0,0.0,5.812575339065836,0.5779217946828968,0.05252786284578051,0.0,0.0,0.0,0.0,0.0,34,2.8669609340726963,0.2833333333333333,9.723376736679096,0.12593530863523483,0.12805664390325547,2,0.010619985828848455,0.0020860378413355436,0.07738095238095238,0,0,0,低风险,0
147411,8014,0.0,0.0,28.318355080315705,0.0,6.404249481007292,0.8169151695570781,0.05209454848269156,0.0,0.0,0.0,0.0,0.0,29,3.5312785547177046,0.24166666666666667,15.227586206896552,0.10689469426870346,0.10689469426870346,1,0.009917143033695848,0.004971775393090558,0.059895833333333336,0,0,0,低风险,0
1974492,0,0.0,0.0,26.65609061415597,26.65609061415597,23.96800119439784,1.5090709488558325,0.11534554397407104,0.0,0.0,0.0,0.0,0.0,167,60.02380555948084,1.3916666666666666,42.38383233532935,0.4409067526459694,0.5879154086112975,10,0.0394157344181353,0.009337099845447014,0.4616815476190476,1,0,0,低风险,0
1974492,1,0.0,0.0,36.09021220456812,34.285701594339706,23.379243097439936,1.490014897960282,0.13747876244425108,0.0,0.0,0.0,0.0,0.0,319,110.83337435997953,2.658333333333333,41.936767288270445,0.725631708377286,1.2030580282211303,19,0.06346123408321887,0.010636223972858629,0.7373511904761905,2,1,1,中风险,0
1974492,2,0.0,0.0,0.0,0.0,6.808374344793077,0.6806294878916634,0.0541313087014434,0.0,0.0,0.0,0.0,0.0,19,1.5361966220521925,0.15833333333333333,7.982456140350877,0.12828080356121063,0.12828080356121063,1,0.010898558221194484,0.0024501824266705005,0.07924107142857142,0,0,0,低风险,0
1974492,3,0.0,0.0,13.175044697265129,15.810053636718152,14.964759171465104,1.1126804248695013,0.08452203703915265,0.0,0.0,0.0,0.0,0.0,112,37.95053538632699,0.9333333333333333,40.69910714285714,0.24475348244110742,0.3243357837200165,6,0.0218386918844062,0.005777327855562106,0.21986607142857142,0,0,0,低风险,0
1974492,4,0.0,0.0,21.653157361150623,15.063065990365649,14.812124320176453,1.076564487140968,0.1072473389669177,0.0,0.38434163701067614,0.0,0.0,0.0,281,106.22007505134489,2.341666666666667,45.30486358244366,0.38435568397535996,0.706965160369873,17,0.053223490707157955,0.043443358377493746,0.3958333333333333,1,1,1,中风险,0
1974492,5,0.0,0.0,24.970556281384273,30.732992346319104,24.100109398017093,1.447623848441518,0.12553974438827914,0.0,0.0,0.0,0.0,0.0,132,52.061315148559956,1.1,45.29402543712888,0.5593139792326838,1.1491546154022216,8,0.04945041353229105,0.009553722690576132,0.5918898809523809,1,1,1,中风险,0
1974492,6,0.0,0.0,7.083346196568605,7.083346196568605,20.53173518354359,1.0058969333486232,0.06017754027752483,0.0,0.0,0.0,0.0,0.0,289,127.05859279276626,2.408333333333333,53.10424379273247,0.14583653589296672,0.4482917547225953,18,0.013347456092985367,0.005582494565376248,0.09598214285714286,0,0,0,低风险,0
1974492,7,0.0,0.0,48.94671658897418,12.236679147243546,11.96786824670001,0.961600854455519,0.06404133816492417,0.0,0.0,0.0,0.0,0.0,60,8.172151839294255,0.5,15.683333333333334,0.26623527705669403,0.3525371938943863,3,0.024374791086594343,0.008345875211941623,0.2421875,0,0,0,低风险,0
1974492,3000,0.0,0.0,26.873385648692828,24.953858102357625,23.75715171118298,1.3205506710235744,0.11189177002317009,0.0,0.0,0.0,0.0,0.0,391,156.28845784097533,3.2583333333333333,48.08737732345743,0.4590144044583819,0.7257452249526978,24,0.04086907455193984,0.008923514418921431,0.48400297619047616,1,0,0,低风险,0
1974492,3001,0.0,0.0,32.286911422522394,35.809119941343006,22.847938824500496,1.4356938407757425,0.1528536184200802,0.0,0.0,0.0,0.0,0.0,417,170.34766590164966,3.475,46.50303895537467,0.8350069693988189,1.3584226965904236,26,0.07241364790624233,0.010593421443600516,0.7927827380952381,2,1,1,中风险,0
1974492,3002,0.0,0.0,8.117609320568318,5.619883375778067,17.85653120867116,0.894108508113528,0.06405378750774891,0.0,0.06990881458966565,0.0,0.0,0.0,329,160.1456720399284,2.7416666666666667,58.58782094836234,0.14906725082546474,0.6297673642635345,20,0.01546194193460108,0.009461406189207905,0.10007440476190477,0,0,0,低风险,0
