plate_id,trip_id,overspeed_ratio,overspeed_intensity,hard_brake_rate,hard_accel_rate,speed_std,speed_entropy,acc_rms,continuous_over4h_ratio,night_ratio,bridge_tunnel_exposure,city_exposure,density_exposure,n_points,distance_km,duration_h,mean_speed
147411,1,0.0,0.0,67.53264431861564,42.20790269913477,13.68154161065937,1.2667889524286817,0.11357966319305739,0.0,0.0,0.0,0.0,0.0,69,11.846122835434077,0.575,19.858880237300703
147411,2,0.0,0.0,0.0,0.0,5.602829100711605,0.6853142072764582,0.04621729881560484,0.0,0.0,0.0,0.0,0.0,48,2.5801634179560153,0.4,6.1325716845878135
147411,4,0.0,0.0,0.0,0.0,5.385510080614489,0.633856266068602,0.0352134620705078,0.0,0.0,0.0,0.0,0.0,88,2.8222680825902122,0.7333333333333333,3.74669912111393
147411,5,0.0,0.0,35.07972238698689,35.07972238698689,6.736691616636755,0.6929389195380611,0.0612545578106678,0.0,0.0,0.0,0.0,0.0,49,2.8506496971907573,0.4083333333333333,6.662343647136273
147411,6,0.0,0.0,0.0,0.0,5.451578669198826,0.7012565123592978,0.03961246204543147,0.0,0.0,0.0,0.0,0.0,34,3.6871826934131198,0.2833333333333333,13.139925625422581
147411,1000,0.0,0.0,52.118693745747144,60.80514270337167,12.209052539006251,1.203287000027408,0.08901033942377788,0.0,0.0,0.0,0.0,0.0,112,11.512184148877669,0.9333333333333333,12.148963133640551
147411,1001,0.0,0.0,34.535008842578506,0.0,5.836958872673684,0.6931471805599453,0.04600680919733454,0.0,0.0,0.0,0.0,0.0,62,2.8956124046712026,0.5166666666666667,5.355876900259548
147411,1003,0.0,0.0,74.91118975311166,0.0,6.363741761450871,0.7653474874467372,0.05928628694490722,0.0,0.0,0.0,0.0,0.0,55,2.669828107912175,0.4583333333333333,5.372805474095797
147411,1004,0.0,0.0,0.0,0.0,6.031661767017273,0.6915443304085231,0.04354053052554175,0.0,0.0,0.0,0.0,0.0,53,2.8570905008140004,0.44166666666666665,6.258239413464297
147411,1005,0.0,0.0,0.0,0.0,7.011778827425954,0.9097944822721153,0.060306200795335906,0.0,0.0,0.0,0.0,0.0,30,3.6326459379884275,0.25,13.943655913978494
147411,1006,0.0,0.0,13.994133012990009,0.0,10.090877253383992,1.102505994145725,0.049683850057741424,0.0,0.0,0.0,0.0,0.0,53,7.145851758531617,0.44166666666666665,15.974105400130124
147411,2000,0.0,0.0,39.84682279925026,19.92341139962513,7.051988335061482,0.8410172421146214,0.07256069180707772,0.0,0.0,0.0,0.0,0.0,47,5.019220754628475,0.39166666666666666,12.19059711736445
147411,2001,0.0,0.0,34.14830818099596,0.0,5.343384320821403,0.6191006644255871,0.034076981446907025,0.0,0.0,0.0,0.0,0.0,100,2.9284027621506437,0.8333333333333334,3.3046666666666664
147411,2003,0.0,0.0,39.04572496868085,0.0,6.055473045338531,0.7024868011866702,0.04504201912523436,0.0,0.0,0.0,0.0,0.0,76,2.5610998407690335,0.6333333333333333,4.160514502947841
147411,2004,0.0,0.0,34.82950042949505,0.0,6.835491155023351,0.7623714181031809,0.046846844374994256,0.0,0.0,0.0,0.0,0.0,56,2.8711293233283333,0.4666666666666667,5.929372342525846
147411,2005,0.0,0.0,27.881148037399512,0.0,6.653023524615278,0.7743112444987517,0.06754882568381665,0.0,0.0,0.0,0.0,0.0,27,3.586652883369829,0.225,15.931376426482098
147411,6000,0.0,0.0,12.694796610280527,25.389593220561053,8.978429396406877,1.0874751776438027,0.07114725667135127,0.0,0.0,0.0,0.0,0.0,67,7.877243178438778,0.5583333333333333,13.692691713844571
147411,6001,0.0,0.0,0.0,0.0,8.05226442732757,0.8799300076747671,0.027822175003264712,0.0,0.0,0.0,0.0,0.0,48,1.711455516351141,0.4,5.493381921897547
147411,6002,0.0,0.0,23.255805608992627,23.960526991083313,26.632691898951837,1.5244707579734529,0.10595977623726638,0.0,0.0,0.017857142857142856,0.0,0.0,392,141.90005091562796,3.2666666666666666,42.806816694548104
147411,7000,0.0,0.0,28.27139351874859,23.747970555748815,31.096132416446295,1.4422339497330547,0.11661267475263877,0.0,0.06934306569343066,0.0,0.0,0.0,274,88.42860888134462,2.283333333333333,38.15093448316459
147411,7001,0.0,0.0,11.213777879000357,9.718607495133643,20.22362006681566,0.9111924841656461,0.08109014922764955,0.0,0.0,0.0,0.034482758620689655,0.0,261,133.76401924359467,2.175,61.13515704047713
147411,7002,0.0,0.0,12.20076224553809,6.9718641403074795,25.02103450107958,1.3051490762049036,0.09150729620891562,0.0,0.0,0.0,0.0,0.0,132,57.37346453546337,1.1,48.69570514155964
147411,7004,0.0,0.0,14.27370667931431,12.489493344400021,27.90556183014326,1.479204291653153,0.08877925998087241,0.0,0.0,0.0,0.0,0.0,151,56.047109414079046,1.2583333333333333,42.130009449263326
